Read file in one pass,File size is 64Kb,
Block read exit,1002558,18701
Block read entry,1002857,
Block read exit,1021563,18706
Block read entry,1021862,
Block read exit,1040729,18867
Block read entry,1041028,
Block read exit,1062770,21742
Block read entry,1063069,
Block read exit,1081932,18863
Block read entry,1082231,
Block read exit,1101090,18859
Block read entry,1101389,
Block read exit,1120150,18761
Block read entry,1120449,
Block read exit,1139314,18865
Block read entry,1139613,
Block read exit,1158468,18855
Block read entry,1158767,
Block read exit,1177639,18872
Block read entry,1177938,
Block read exit,1196807,18869
Block read entry,1197106,
Block read exit,1219705,22599
Block read entry,1220004,
Block read exit,1238763,18759
Block read entry,1239062,
Block read exit,1257985,18923
Block read entry,1258284,
Block read exit,1277298,19014
Block read entry,1277597,
Block read exit,1296625,19028
Block read entry,1296924,
Block read exit,1315944,19020
Block read entry,1316243,
Block read exit,1335270,19027
Block read entry,1335569,
Block read exit,1354977,19408
Block read entry,1355276,
Block read exit,1377714,22438
Block read entry,1378013,
Block read exit,1397098,19085
Block read entry,1397397,
Block read exit,1416584,19187
Block read entry,1416883,
Block read exit,1436070,19187
Block read entry,1436369,
Block read exit,1455549,19180
Block read entry,1455848,
Block read exit,1475196,19348
Block read entry,1475495,
Block read exit,1494843,19348
Block read entry,1495142,
Block read exit,1514878,19736
Block read entry,1515177,
Block read exit,1537247,22070
Block read entry,1537546,
Block read exit,1556079,18533
Block read entry,1556381,
Block read exit,1575089,18708
Block read entry,1575388,
Block read exit,1594096,18708
Block read entry,1594395,
Block read exit,1613106,18711
Block read entry,1613405,
Block read exit,1632496,19091
Block read entry,1632795,
Block read exit,1651496,18701
Block read entry,1651795,
Block read exit,1670500,18705
Block read entry,1670799,
Block read exit,1692710,21911
Block read entry,1693009,
Block read exit,1711713,18704
Block read entry,1712012,
Block read exit,1730885,18873
Block read entry,1731184,
Block read exit,1750043,18859
Block read entry,1750342,
Block read exit,1769102,18760
Block read entry,1769401,
Block read exit,1788262,18861
Block read entry,1788561,
Block read exit,1807425,18864
Block read entry,1807724,
Block read exit,1826581,18857
Block read entry,1826880,
Block read exit,1848780,21900
Block read entry,1849079,
Block read exit,1868103,19024
Block read entry,1868402,
Block read exit,1887480,19078
Block read entry,1887779,
Block read exit,1906696,18917
Block read entry,1906995,
Block read exit,1926176,19181
Block read entry,1926475,
Block read exit,1945500,19025
Block read entry,1945799,
Block read exit,1964820,19021
Block read entry,1965119,
Block read exit,1984144,19025
Block read entry,1984443,
Block read exit,2006504,22061
Block read entry,2006803,
Block read exit,2025830,19027
Block read entry,2026129,
Block read exit,2045693,19564
Block read entry,2045992,
Block read exit,2065183,19191
Block read entry,2065482,
Block read exit,2084663,19181
Block read entry,2084962,
Block read exit,2104153,19191
Block read entry,2104452,
Block read exit,2123639,19187
Block read entry,2123938,
Block read exit,2143122,19184
Block read entry,2143421,
Block read exit,2165506,22085
Block read entry,2165805,
Block read exit,2184905,19100
Block read entry,2185204,
Block read exit,2203916,18712
Block read entry,2204215,
Block read exit,2222925,18710
Block read entry,2223224,
Block read exit,2241927,18703
Block read entry,2242226,
Block read exit,2260929,18703
Block read entry,2261228,
Block read exit,2280308,19080
Block read entry,2280607,
Block read exit,2299306,18699
Block read entry,2299605,
Block read exit,2321351,21746
Block read entry,2321650,
Block read exit,2340522,18872
Block read entry,2340821,
Block read exit,2359684,18863
Block read entry,2360469,
Block read exit,2379460,18991
Block read entry,2379759,
Block read exit,2398626,18867
Block read entry,2398925,
Block read exit,2418174,19249
Block read entry,2418473,
Block read exit,2437340,18867
Block read entry,2437639,
Block read exit,2456652,19013
Block read entry,2456951,
Block read exit,2478854,21903
Block read entry,2479153,
Block read exit,2498230,19077
Block read entry,2498529,
Block read exit,2517549,19020
Block read entry,2517848,
Block read exit,2537025,19177
Block read entry,2537324,
Block read exit,2556734,19410
Block read entry,2557033,
Block read exit,2576224,19191
Block read entry,2576523,
Block read exit,2595539,19016
Block read entry,2595838,
Block read exit,2614865,19027
Block read entry,2615650,
Block read exit,2637713,22063
min,18533,
max,25161,
Set mark entry,2638009,
Set mark exit,2662310,24301
Close entry,2662514,
Close exit,2665450,2936
